timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll
2.40E+12,16.164973,-5.227411972,-18.7585528,-2.926441094,-1.6924021,1.6719382,-2.035403,18.701296,66.07447,-10.117956
2.40E+12,16.169981,-5.073766474,-18.95410108,-1.259621127,-1.280679,1.7687603,-1.788308,19.68706,67.10485,-10.174802
2.40E+12,16.174976,-4.959527004,-19.13410783,0.440795393,-0.97433007,1.9107865,-1.6444492,20.548712,67.92293,-10.092852
2.40E+12,16.179985,-5.325497115,-19.1294163,2.613155972,-0.90194255,2.2843306,-1.3833044,21.452993,68.62736,-10.128368
2.40E+12,16.185256,-5.671955346,-19.13682711,4.849881609,-1.0354166,2.620612,-1.1768318,22.307894,69.14291,-10.146105
2.40E+12,16.19,-5.594082875,-19.2679802,6.366343043,-1.6719382,2.7293458,-1.1801916,23.190279,69.74689,-10.18084
2.40E+12,16.195005,-5.511926105,-19.40634893,7.966235428,-2.7641652,2.6032023,-1.2174544,24.041544,70.2055,-10.317102
2.40E+12,16.200098,-5.051781645,-19.45122069,6.986882131,-3.9003747,2.4846945,-1.2159272,24.910013,70.81388,-10.458064
2.40E+12,16.204975,-4.533339482,-19.47436541,5.510247996,-4.6657887,2.3921483,-1.1410962,25.735317,71.56728,-10.582715
2.40E+12,16.210013,-4.095062729,-19.04498674,4.241887624,-4.940984,2.237294,-0.97341377,26.428255,72.233574,-10.71003
2.40E+12,16.215046,-3.682013206,-18.5005121,3.040288747,-4.834388,1.9614882,-0.7244862,27.034882,72.92965,-10.847764
2.40E+12,16.22002,-3.49944385,-18.14651143,2.197612058,-4.5243735,1.57084,-0.44073927,27.565453,73.77821,-10.919569
2.40E+12,16.224947,-3.391393965,-17.85524646,1.474147448,-4.0274343,1.099252,-0.22296582,27.974482,74.476395,-11.011328
2.40E+12,16.230014,-3.581601215,-17.65924077,1.790874192,-3.517973,0.57910025,-0.10720685,28.265701,75.14748,-11.077718
2.40E+12,16.234982,-3.877026669,-17.50449438,2.48488969,-3.07815,-0.032070424,-0.09132435,28.384867,75.6622,-11.145222
2.40E+12,16.24001,-4.343982249,-17.44188812,3.569193678,-2.761111,-0.8362745,-0.20280726,28.316616,76.1274,-11.165315
2.40E+12,16.245045,-4.881480191,-17.41831367,4.813925877,-2.5848763,-1.6978999,-0.42332962,28.057228,76.52913,-11.132807
2.40E+12,16.250157,-4.798874712,-17.01909606,5.761490471,-2.377182,-2.3096814,-0.75625116,27.634893,76.81573,-11.061759
2.40E+12,16.255065,-4.434620695,-16.46561879,6.527843107,-2.1875083,-2.516154,-1.1187997,27.091776,77.12729,-10.903946
